"item","kappa_score","z_score","p_value","gabe_num","koen_num"
"out_misrep",0.385650107315716,21.5576532652602,0,58,111
"out_emo_lang",0.518966998254315,27.4644590111757,0,67,65
"out_ideo_extrem",0.181286549707598,16.7062766183509,0,1,10
"out_slip_slope",0.4997319992854,30.5395878864891,0,1,3
"out_insult",0.503430766550234,27.5759424581447,0,228,139
"out_mock_sarc",0.375121288569767,22.379580998488,0,27,10
"out_threat",NA,NA,NA,0,0
"pa_dress",0.799828424363772,43.1972166161061,0,3,2
"pa_appear",0.4997319992854,30.5395878864891,0,1,3
"pa_attit",0.463049579045837,24.8653026609938,0,139,100
"pa_interact",0.35498138660573,19.9388603369356,0,26,13
"pa_humor",0.570990806945861,33.4484550046418,0,5,2
"pa_other",0.360285478045167,20.2343302104171,0,11,22
"pb_sex",0.856792144026194,45.809352525372,0,4,3
"pb_lgbtq",NA,NA,NA,0,0
"pb_race",NA,NA,NA,0,0
"pb_origin",0.366420274551213,23.9062456708245,0,12,7
"pb_nuero_div",0,0,1,0.5,0
"pb_phys_able",0,0,1,0,1
"pb_pol_affil",0.584261321455082,37.2863018835447,0,19,10
"complex",0.177548236211265,10.4647581356174,0,77,190
"constructive",0.617468919349697,32.9422840602595,0,49,63
"reflective",0.286722639126237,16.4492415787802,0,21,47
"outrage_agg",0.536652977523775,34.6163790625319,0,382,338
"personal_attack_agg",0.506502781969612,28.4922542573222,0,185,142
"prejudice_agg",0.517856214586481,34.2557185598595,0,35.5,21
